,characters,losses,transfers,network_cost
0,K02257,2.0,2.0,4.0
1,K02274,1.0,1.0,2.0
2,K02259,2.0,2.0,4.0
3,K02275,1.0,1.0,2.0
4,K01772,2.0,5.0,7.0
5,K00627,2.0,2.0,4.0
6,K02276,1.0,1.0,2.0
7,K01669,4.0,2.0,6.0
8,K21636,5.0,2.0,7.0
9,K03635,4.0,3.0,7.0
10,K00164,0.0,1.0,1.0
11,K04068,7.0,2.0,9.0
12,K01724,1.0,3.0,4.0
13,K00162,1.0,3.0,4.0
14,K00161,1.0,3.0,4.0
15,K01011,2.0,2.0,4.0
16,K00135,6.0,3.0,9.0
17,K13628,0.0,1.0,1.0
18,K01255,7.0,1.0,8.0
19,K03636,3.0,3.0,6.0
20,K06886,2.0,2.0,4.0
21,K08303,6.0,2.0,8.0
22,K02221,5.0,0.0,5.0
23,K07152,0.0,2.0,2.0
24,K01589,3.0,4.0,7.0
25,K17828,4.0,1.0,5.0
26,K00573,0.0,2.0,2.0
27,K03980,3.0,1.0,4.0
28,K01419,0.0,4.0,4.0
29,K03667,0.0,4.0,4.0
30,K00632,6.0,2.0,8.0
31,K01638,2.0,1.0,3.0
32,K00262,6.0,1.0,7.0
33,K03820,7.0,1.0,8.0
34,K01493,4.0,1.0,5.0
35,K03074,5.0,0.0,5.0
36,K02823,4.0,1.0,5.0
37,K00228,0.0,1.0,1.0
38,K07133,2.0,7.0,9.0
39,K06980,1.0,1.0,2.0
40,K00254,0.0,4.0,4.0
41,K03737,6.0,0.0,6.0
42,K03179,0.0,5.0,5.0
43,K01903,3.0,4.0,7.0
44,K07146,1.0,3.0,4.0
